Indicator Name,Code,Source
(%) Program participation by 4th 20%  -  All Social Safety Nets,allsa_cov_q4,WORLDBANK
(%) Program participation by 5th 20%  -  All Social Safety Nets,allsa_cov_q5,WORLDBANK
Expenditures in benefits of All Social Safety Nets,allsa_expen,WORLDBANK
(%) Generosity of All Social Safety Nets ,allsa_gen_pop,WORLDBANK
(%) Generosity of All Social Safety Nets - 1st 20% ,allsa_gen_q1,WORLDBANK
(%) Generosity of All Social Safety Nets - 2nd 20% ,allsa_gen_q2,WORLDBANK
(%) Generosity of All Social Safety Nets - 3rd 20% ,allsa_gen_q3,WORLDBANK
(%) Generosity of All Social Safety Nets - 4th 20% ,allsa_gen_q4,WORLDBANK
(%) Generosity of All Social Safety Nets - 5th 20% ,allsa_gen_q5,WORLDBANK
Gini inequality reduction (%) - All Social Safety Nets ,allsa_inc_gini,WORLDBANK
Poverty Headcount reduction (%) - All Social Safety Nets ,allsa_inc_p0,WORLDBANK
Poverty Gap reduction (%) - All Social Safety Nets ,allsa_inc_p1,WORLDBANK
% benefits held by non poor -All Social Safety Nets,allsa_lekbf_q1,WORLDBANK
% of non poor beneficiaries - All Social Safety Nets,allsa_lekby_q1,WORLDBANK
Targeting Differential (coverage of the poor minus leakage)- All Social Safety Nets (%),allsa_td_q1,WORLDBANK
Beneficiaries' per capita transfer -  All Social Insurance ,allsi_avt_pop,WORLDBANK
Beneficiaries' per capita transfer held by 1st 20% population - All Social Insurance ,allsi_avt_q1,WORLDBANK
Beneficiaries' per capita transfer held by 2nd 20% population - All Social Insurance ,allsi_avt_q2,WORLDBANK
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Insurance ,allsi_avt_q3,WORLDBANK
Beneficiaries' per capita transfer held by 4th 20% population - All Social Insurance ,allsi_avt_q4,WORLDBANK
Beneficiaries' per capita transfer held by 5th 20% population - All Social Insurance ,allsi_avt_q5,WORLDBANK
(%) Benefits held by 1st 20% population - All Social Insurance,allsi_bi_q1,WORLDBANK
(%) Benefits held by 2nd 20% population - All Social Insurance,allsi_bi_q2,WORLDBANK
(%) Benefits held by 3rd 20% population - All Social Insurance,allsi_bi_q3,WORLDBANK
(%) Benefits held by 4th 20% population - All Social Insurance,allsi_bi_q4,WORLDBANK
(%) Benefits held by 5th 20% population - All Social Insurance,allsi_bi_q5,WORLDBANK
(%) Program beneficiaries in 1st 20% population - All Social Insurance,allsi_byi_q1,WORLDBANK
(%) Program beneficiaries in 2nd 20% population - All Social Insurance,allsi_byi_q2,WORLDBANK
(%) Program beneficiaries in 3rd 20% population - All Social Insurance,allsi_byi_q3,WORLDBANK
(%) Program beneficiaries in 4th 20% population - All Social Insurance,allsi_byi_q4,WORLDBANK
(%) Program beneficiaries in 5th 20% population - All Social Insurance,allsi_byi_q5,WORLDBANK
Cost-benefit ratio - All Social Insurance,allsi_cba_q1,WORLDBANK
Concentration index - All Social Insurance,allsi_cdg_ci,WORLDBANK
CGH held by poorest 10% - All Social Insurance,allsi_cdg_d1,WORLDBANK
CGH held by poorest 20% population - All Social Insurance,allsi_cdg_q1,WORLDBANK
(%) Program participation - All Social Insurance,allsi_cov_pop,WORLDBANK
(%) Program participation by 1st 20%  -  All Social Insurance,allsi_cov_q1,WORLDBANK
(%) Program participation by 2nd 20%  -  All Social Insurance,allsi_cov_q2,WORLDBANK
(%) Program participation by 3rd 20%  -  All Social Insurance,allsi_cov_q3,WORLDBANK
(%) Program participation by 4th 20%  -  All Social Insurance,allsi_cov_q4,WORLDBANK
(%) Program participation by 5th 20%  -  All Social Insurance,allsi_cov_q5,WORLDBANK
Expenditures in benefits of All Social Insurance,allsi_expen,WORLDBANK
(%) Generosity of All Social Insurance ,allsi_gen_pop,WORLDBANK
(%) Generosity of All Social Insurance - 1st 20% ,allsi_gen_q1,WORLDBANK
(%) Generosity of All Social Insurance - 2nd 20% ,allsi_gen_q2,WORLDBANK
(%) Generosity of All Social Insurance - 3rd 20% ,allsi_gen_q3,WORLDBANK
(%) Generosity of All Social Insurance - 4th 20% ,allsi_gen_q4,WORLDBANK
(%) Generosity of All Social Insurance - 5th 20% ,allsi_gen_q5,WORLDBANK
Gini inequality reduction (%) - All Social Insurance,allsi_inc_gini,WORLDBANK
Poverty Headcount reduction (%) - All Social Insurance ,allsi_inc_p0,WORLDBANK
Poverty Gap reduction (%) - All Social Insurance ,allsi_inc_p1,WORLDBANK
% benefits held by non poor -All Social Insurance,allsi_lekbf_q1,WORLDBANK
% of non poor beneficiaries - All Social Insurance,allsi_lekby_q1,WORLDBANK
Targeting Differential (coverage of the poor minus leakage)- All Social Insurance (%),allsi_td_q1,WORLDBANK
Beneficiaries' per capita transfer -  All Social Protection ,allsp_avt_pop,WORLDBANK
Beneficiaries' per capita transfer held by 1st 20% population - All Social Protection ,allsp_avt_q1,WORLDBANK
Beneficiaries' per capita transfer held by 2nd 20% population - All Social Protection ,allsp_avt_q2,WORLDBANK
Beneficiaries' per capita transfer held by 3rd 20% population - All Social Protection ,allsp_avt_q3,WORLDBANK
Beneficiaries' per capita transfer held by 4th 20% population - All Social Protection ,allsp_avt_q4,WORLDBANK
Beneficiaries' per capita transfer held by 5th 20% population - All Social Protection ,allsp_avt_q5,WORLDBANK
(%) Benefits held by 1st 20% population - All Social Protection,allsp_bi_q1,WORLDBANK
(%) Benefits held by 2nd 20% population - All Social Protection,allsp_bi_q2,WORLDBANK
(%) Benefits held by 3rd 20% population - All Social Protection,allsp_bi_q3,WORLDBANK
(%) Benefits held by 4th 20% population - All Social Protection,allsp_bi_q4,WORLDBANK
(%) Benefits held by 5th 20% population - All Social Protection,allsp_bi_q5,WORLDBANK
(%) Program beneficiaries in 1st 20% population - All Social Protection,allsp_byi_q1,WORLDBANK
(%) Program beneficiaries in 2nd 20% population - All Social Protection,allsp_byi_q2,WORLDBANK
(%) Program beneficiaries in 3rd 20% population - All Social Protection,allsp_byi_q3,WORLDBANK
(%) Program beneficiaries in 4th 20% population - All Social Protection,allsp_byi_q4,WORLDBANK
(%) Program beneficiaries in 5th 20% population - All Social Protection,allsp_byi_q5,WORLDBANK
Cost-benefit ratio - All Social Protection,allsp_cba_q1,WORLDBANK
Concentration index - All Social Protection,allsp_cdg_ci,WORLDBANK
CGH held by poorest 10% - All Social Protection,allsp_cdg_d1,WORLDBANK
CGH held by poorest 20% population - All Social Protection,allsp_cdg_q1,WORLDBANK
(%) Program participation - All Social Protection,allsp_cov_pop,WORLDBANK
(%) Program participation by 1st 20%  -  All Social Protection,allsp_cov_q1,WORLDBANK
(%) Program participation by 2nd 20%  -  All Social Protection,allsp_cov_q2,WORLDBANK
(%) Program participation by 3rd 20%  -  All Social Protection,allsp_cov_q3,WORLDBANK
(%) Program participation by 4th 20%  -  All Social Protection,allsp_cov_q4,WORLDBANK
(%) Program participation by 5th 20%  -  All Social Protection,allsp_cov_q5,WORLDBANK
Expenditures in benefits of All Social Protection,allsp_expen,WORLDBANK
(%) Generosity of All Social Protection ,allsp_gen_pop,WORLDBANK
(%) Generosity of All Social Protection - 1st 20% ,allsp_gen_q1,WORLDBANK
(%) Generosity of All Social Protection - 2nd 20% ,allsp_gen_q2,WORLDBANK
(%) Generosity of All Social Protection - 3rd 20% ,allsp_gen_q3,WORLDBANK
(%) Generosity of All Social Protection - 4th 20% ,allsp_gen_q4,WORLDBANK
(%) Generosity of All Social Protection - 5th 20% ,allsp_gen_q5,WORLDBANK
Gini inequality reduction (%) -  All Social Protection,allsp_inc_gini,WORLDBANK
Poverty Headcount reduction (%) -  All Social Protection,allsp_inc_p0,WORLDBANK
Poverty Gap reduction (%) -  All Social Protection,allsp_inc_p1,WORLDBANK
% benefits held by non poor -All Social Protection,allsp_lekbf_q1,WORLDBANK
% of non poor beneficiaries - All Social Protection,allsp_lekby_q1,WORLDBANK
Targeting Differential (coverage of the poor minus leakage)- All Social Protection (%),allsp_td_q1,WORLDBANK
"Aluminum, $/mt, current$",ALUMINUM,WORLDBANK
41.Herfindahl-Hirschman Index,B1,WORLDBANK
42.Share of top 1% Exporters in TEV (Total Export Value),B2i,WORLDBANK
43.Share of top 5% Exporters in TEV (Total Export Value),B2ii,WORLDBANK
44.Share of top 25% Exporters in TEV (Total Export Value),B2iii,WORLDBANK
45.Number of HS6 Products per Exporter: Mean,B3i,WORLDBANK
46.Number of HS6 Products per Exporter: Median,B3ii,WORLDBANK
47.Number of HS6 Products per Exporter: StDev,B3iii,WORLDBANK
48.Number of Destinations per Exporter: Mean,B4i,WORLDBANK
49.Number of Destinations per Exporter: Median,B4ii,WORLDBANK
50.Number of Destinations per Exporter: StDev,B4iii,WORLDBANK
51.Number of Exporters per HS6 Product: Mean,B5i,WORLDBANK
52.Number of Exporters per HS6 Product: Median,B5ii,WORLDBANK
53.Number of Exporters per HS6 Product: StDev,B5iii,WORLDBANK
54.Number of Exporters per Destination: Mean,B6i,WORLDBANK
55.Number of Exporters per Destination: Median,B6ii,WORLDBANK
56.Number of Exporters per Destination: StDev,B6iii,WORLDBANK
"Bananas, EU, $/mt, current$",BANANA_EU,WORLDBANK
"Bananas, US, $/mt, current$",BANANA_US,WORLDBANK
"percentage of population (15+), 15-19, female, no education",BAR_NOED_1519_FE_ZS,WORLDBANK
"percentage of population (15+), 15-19, total, no education",BAR_NOED_1519_ZS,WORLDBANK
"percentage of population (15+), 15+, female, no education",BAR_NOED_15UP_FE_ZS,WORLDBANK
"percentage of population (15+), 15+, total, no education",BAR_NOED_15UP_ZS,WORLDBANK
"percentage of population (15+), 20-24, female, no education",BAR_NOED_2024_FE_ZS,WORLDBANK
"percentage of population (15+), 20-24, total, no education",BAR_NOED_2024_ZS,WORLDBANK
"percentage of population (15+), 25-29, female, no education",BAR_NOED_2529_FE_ZS,WORLDBANK
"percentage of population (15+), 25-29, total, no education",BAR_NOED_2529_ZS,WORLDBANK
"percentage of population (15+), 25+, female, no education",BAR_NOED_25UP_FE_ZS,WORLDBANK
"percentage of population (15+), 25+, total, no education",BAR_NOED_25UP_ZS,WORLDBANK
"percentage of population (15+), 30-34, female, no education",BAR_NOED_3034_FE_ZS,WORLDBANK
"percentage of population (15+), 30-34, total, no education",BAR_NOED_3034_ZS,WORLDBANK
"percentage of population (15+), 35-39, female, no education",BAR_NOED_3539_FE_ZS,WORLDBANK
"percentage of population (15+), 35-39, total, no education",BAR_NOED_3539_ZS,WORLDBANK
"percentage of population (15+), 40-44, female, no education",BAR_NOED_4044_FE_ZS,WORLDBANK
"percentage of population (15+), 40-44, total, no education",BAR_NOED_4044_ZS,WORLDBANK
"percentage of population (15+), 45-49, female, no education",BAR_NOED_4549_FE_ZS,WORLDBANK
"percentage of population (15+), 45-49, total, no education",BAR_NOED_4549_ZS,WORLDBANK
"percentage of population (15+), 50-54, female, no education",BAR_NOED_5054_FE_ZS,WORLDBANK
"percentage of population (15+), 50-54, total, no education",BAR_NOED_5054_ZS,WORLDBANK
"percentage of population (15+), 55-59, female, no education",BAR_NOED_5559_FE_ZS,WORLDBANK
"percentage of population (15+), 55-59, total, no education",BAR_NOED_5559_ZS,WORLDBANK
"percentage of population (15+), 60-64, female, no education",BAR_NOED_6064_FE_ZS,WORLDBANK
"percentage of population (15+), 60-64, total, no education",BAR_NOED_6064_ZS,WORLDBANK
"percentage of population (15+), 65-69, female, no education",BAR_NOED_6569_FE_ZS,WORLDBANK
"percentage of population (15+), 65-69, total, no education",BAR_NOED_6569_ZS,WORLDBANK
"percentage of population (15+), 70-74, female, no education",BAR_NOED_7074_FE_ZS,WORLDBANK
"percentage of population (15+), 70-74, total, no education",BAR_NOED_7074_ZS,WORLDBANK
"percentage of population (15+), 75+, female, no education",BAR_NOED_75UP_FE_ZS,WORLDBANK
"percentage of population (15+), 75+, total, no education",BAR_NOED_75UP_ZS,WORLDBANK
"population in thousands (age 15+), 15-19, total",BAR_POP_1519,WORLDBANK
"population in thousands (age 15+), 15-19, female",BAR_POP_1519_FE,WORLDBANK
"population in thousands (age 15+), 15+, total",BAR_POP_15UP,WORLDBANK
"population in thousands (age 15+), 15+, female",BAR_POP_15UP_FE,WORLDBANK
"population in thousands (age 15+), 20-24, total",BAR_POP_2024,WORLDBANK
"population in thousands (age 15+), 20-24, female",BAR_POP_2024_FE,WORLDBANK
"population in thousands (age 15+), 25-29, total",BAR_POP_2529,WORLDBANK
"population in thousands (age 15+), 25-29, female",BAR_POP_2529_FE,WORLDBANK
"population in thousands (age 15+), 25+, total",BAR_POP_25UP,WORLDBANK
"population in thousands (age 15+), 25+, female",BAR_POP_25UP_FE,WORLDBANK
"population in thousands (age 15+), 30-34, total",BAR_POP_3034,WORLDBANK
"population in thousands (age 15+), 30-34, female",BAR_POP_3034_FE,WORLDBANK
"population in thousands (age 15+), 35-39, total",BAR_POP_3539,WORLDBANK
"population in thousands (age 15+), 35-39, female",BAR_POP_3539_FE,WORLDBANK
"population in thousands (age 15+), 40-44, total",BAR_POP_4044,WORLDBANK
"population in thousands (age 15+), 40-44, female",BAR_POP_4044_FE,WORLDBANK
"population in thousands (age 15+), 45-49, total",BAR_POP_4549,WORLDBANK
"population in thousands (age 15+), 45-49, female",BAR_POP_4549_FE,WORLDBANK
"population in thousands (age 15+), 50-54, total",BAR_POP_5054,WORLDBANK
"population in thousands (age 15+), 50-54, female",BAR_POP_5054_FE,WORLDBANK
"population in thousands (age 15+), 55-59, total",BAR_POP_5559,WORLDBANK
"population in thousands (age 15+), 55-59, female",BAR_POP_5559_FE,WORLDBANK
"population in thousands (age 15+), 60-64, total",BAR_POP_6064,WORLDBANK
"population in thousands (age 15+), 60-64, female",BAR_POP_6064_FE,WORLDBANK
"population in thousands (age 15+), 65-69, total",BAR_POP_6569,WORLDBANK
"population in thousands (age 15+), 65-69, female",BAR_POP_6569_FE,WORLDBANK
"population in thousands (age 15+), 70-74, total",BAR_POP_7074,WORLDBANK
"population in thousands (age 15+), 70-74, female",BAR_POP_7074_FE,WORLDBANK
"population in thousands (age 15+), 75+, total",BAR_POP_75UP,WORLDBANK
"population in thousands (age 15+), 75+, female",BAR_POP_75UP_FE,WORLDBANK
"percentage of population (15+), 15-19, female, completed primary",BAR_PRM_CMPT_1519_FE_ZS,WORLDBANK
"percentage of population (15+), 15-19, total, completed primary",BAR_PRM_CMPT_1519_ZS,WORLDBANK
"percentage of population (15+), 15+, female, completed primary",BAR_PRM_CMPT_15UP_FE_ZS,WORLDBANK
"percentage of population (15+), 15+, total, completed primary",BAR_PRM_CMPT_15UP_ZS,WORLDBANK
"percentage of population (15+), 20-24, female, completed primary",BAR_PRM_CMPT_2024_FE_ZS,WORLDBANK
"percentage of population (15+), 20-24, total, completed primary",BAR_PRM_CMPT_2024_ZS,WORLDBANK
"percentage of population (15+), 25-29, female, completed primary",BAR_PRM_CMPT_2529_FE_ZS,WORLDBANK
"percentage of population (15+), 25-29, total, completed primary",BAR_PRM_CMPT_2529_ZS,WORLDBANK
"percentage of population (15+), 25+, female, completed primary",BAR_PRM_CMPT_25UP_FE_ZS,WORLDBANK
"percentage of population (15+), 25+, total, completed primary",BAR_PRM_CMPT_25UP_ZS,WORLDBANK
"percentage of population (15+), 30-34, female, completed primary",BAR_PRM_CMPT_3034_FE_ZS,WORLDBANK
"percentage of population (15+), 30-34, total, completed primary",BAR_PRM_CMPT_3034_ZS,WORLDBANK
"percentage of population (15+), 35-39, female, completed primary",BAR_PRM_CMPT_3539_FE_ZS,WORLDBANK
"percentage of population (15+), 35-39, total, completed primary",BAR_PRM_CMPT_3539_ZS,WORLDBANK
"percentage of population (15+), 40-44, female, completed primary",BAR_PRM_CMPT_4044_FE_ZS,WORLDBANK
"percentage of population (15+), 40-44, total, completed primary",BAR_PRM_CMPT_4044_ZS,WORLDBANK
"percentage of population (15+), 45-49, female, completed primary",BAR_PRM_CMPT_4549_FE_ZS,WORLDBANK
"percentage of population (15+), 45-49, total, completed primary",BAR_PRM_CMPT_4549_ZS,WORLDBANK
"percentage of population (15+), 50-54, female, completed primary",BAR_PRM_CMPT_5054_FE_ZS,WORLDBANK
"percentage of population (15+), 50-54, total, completed primary",BAR_PRM_CMPT_5054_ZS,WORLDBANK
"percentage of population (15+), 55-59, female, completed primary",BAR_PRM_CMPT_5559_FE_ZS,WORLDBANK
"percentage of population (15+), 55-59, total, completed primary",BAR_PRM_CMPT_5559_ZS,WORLDBANK
"percentage of population (15+), 60-64, female, completed primary",BAR_PRM_CMPT_6064_FE_ZS,WORLDBANK
"percentage of population (15+), 60-64, total, completed primary",BAR_PRM_CMPT_6064_ZS,WORLDBANK
"percentage of population (15+), 65-69, female, completed primary",BAR_PRM_CMPT_6569_FE_ZS,WORLDBANK
"percentage of population (15+), 65-69, total, completed primary",BAR_PRM_CMPT_6569_ZS,WORLDBANK
"percentage of population (15+), 70-74, female, completed primary",BAR_PRM_CMPT_7074_FE_ZS,WORLDBANK
"percentage of population (15+), 70-74, total, completed primary",BAR_PRM_CMPT_7074_ZS,WORLDBANK
"percentage of population (15+), 75+, female, completed primary",BAR_PRM_CMPT_75UP_FE_ZS,WORLDBANK
"percentage of population (15+), 75+, total, completed primary",BAR_PRM_CMPT_75UP_ZS,WORLDBANK
"percentage of population (15+), 15-19, female, incomplete primary",BAR_PRM_ICMP_1519_FE_ZS,WORLDBANK
"percentage of population (15+), 15-19, total, incomplete primary",BAR_PRM_ICMP_1519_ZS,WORLDBANK
"percentage of population (15+), 15+, female, incomplete primary",BAR_PRM_ICMP_15UP_FE_ZS,WORLDBANK
"percentage of population (15+), 15+, total, incomplete primary",BAR_PRM_ICMP_15UP_ZS,WORLDBANK
"percentage of population (15+), 20-24, female, incomplete primary",BAR_PRM_ICMP_2024_FE_ZS,WORLDBANK
"percentage of population (15+), 20-24, total, incomplete primary",BAR_PRM_ICMP_2024_ZS,WORLDBANK
"percentage of population (15+), 25-29, female, incomplete primary",BAR_PRM_ICMP_2529_FE_ZS,WORLDBANK
"percentage of population (15+), 25-29, total, incomplete primary",BAR_PRM_ICMP_2529_ZS,WORLDBANK
"percentage of population (15+), 25+, female, incomplete primary",BAR_PRM_ICMP_25UP_FE_ZS,WORLDBANK
"percentage of population (15+), 25+, total, incomplete primary",BAR_PRM_ICMP_25UP_ZS,WORLDBANK
"percentage of population (15+), 30-34, female, incomplete primary",BAR_PRM_ICMP_3034_FE_ZS,WORLDBANK
"percentage of population (15+), 30-34, total, incomplete primary",BAR_PRM_ICMP_3034_ZS,WORLDBANK
"percentage of population (15+), 35-39, female, incomplete primary",BAR_PRM_ICMP_3539_FE_ZS,WORLDBANK
